Order Number,Order Date,Sales Channel,Currency,Warehouse,Order Quantity,Unit Price,Line Total,Total Unit Cost,Customer Names,Product Name,name,county,state_code,state,type,latitude,longitude,population,households,median_income,Profit,Profit Margin (%)
SO - 0006511,2014-08-06,Distributor,USD,AXW291,8,2465.6,19724.8,1873.856,Eidel Corp,Product 25,Florissant,St. Louis County,MO,Missouri,City,38.78922,-90.32261,52268,21024,50767,17850.944,90.5
SO - 000269,2014-08-06,Wholesale,USD,AXW291,5,844.2,4221.0,540.288,Gigabox Group,Product 25,Irondequoit,Monroe County,NY,New York,Town,43.20981,-77.57206,50985,22203,54275,3680.712,87.2
SO - 0007973,2014-08-07,Wholesale,USD,AXW291,6,5386.8,32320.8,2908.872,Chatterpoi Corp,Product 25,Schaumburg (Township),Cook County,IL,Illinois,Township,42.02911,-88.08951,132162,49006,74034,29411.928,91.0
SO - 0009932,2014-08-07,Wholesale,USD,GUT930,7,1018.4,7128.8,855.456,Roomm Company,Product 10,Concord,Elkhart County,IN,Indiana,Township,41.65183,-85.94312,55462,19401,38285,6273.344,88.0
SO - 0001051,2014-08-07,Wholesale,USD,FLR025,6,2566.1,15396.6,1334.372,Zooveo Company,Product 23,Green Bay,Brown County,WI,Wisconsin,City,44.51916,-88.01983,105207,42308,42826,14062.228,91.33
SO - 0003204,2014-08-07,Distributor,USD,GUT930,7,1025.1,7175.7,809.829,General Company,Product 26,Palo Alto,Santa Clara County,CA,California,City,37.44188,-122.14302,66853,26087,136519,6365.871,88.71
SO - 0005284,2014-08-07,Distributor,USD,FLR025,12,3906.1,46873.2,1874.928,Brightdog Corp,Product 1,Buena Park,Orange County,CA,California,City,33.86751,-117.99812,83270,23130,70588,44998.272,96.0
SO - 0005532,2014-08-07,Wholesale,USD,AXW291,11,3256.2,35818.2,2767.77,Voonyx Group,Product 25,El Paso,El Paso County,TX,Texas,City,31.75872,-106.48693,681124,220682,42772,33050.43,92.27
SO - 0006310,2014-08-07,Wholesale,USD,AXW291,7,2546.0,17822.0,1196.62,Neutrogena Ltd,Product 25,Plainfield,Union County,NJ,New Jersey,City,40.63371,-74.40737,51217,14898,54500,16625.38,93.29
SO - 0010634,2014-08-07,Wholesale,USD,GUT930,11,1192.6,13118.6,644.004,Centizu Company,Product 23,Dale City,Prince William County,VA,Virginia,CDP,38.63706,-77.31109,70381,20711,85462,12474.596,95.09
SO - 0004581,2014-08-07,Distributor,USD,GUT930,8,3892.7,31141.6,2296.693,Vinte Group,Product 15,Metairie,Jefferson Parish,LA,Louisiana,CDP,29.98409,-90.15285,140074,59557,52421,28844.907,92.62
SO - 0009444,2014-08-07,Wholesale,USD,AXW291,7,2546.0,17822.0,1196.62,Neutrogena Ltd,Product 25,Arlington Heights,Cook County,IL,Illinois,Village,42.08836,-87.98063,75926,30358,81059,16625.38,93.29
SO - 0002700,2014-08-07,Export,USD,NXH382,12,2345.0,28140.0,1289.75,Terumo Corp,Product 13,DeSoto,Dallas County,TX,Texas,City,32.58986,-96.85695,52486,18907,59260,26850.25,95.42
SO - 0003138,2014-08-07,Wholesale,USD,NXH382,10,917.9,9179.0,761.857,Oozz Group,Product 24,Chicopee,Hampden County,MA,Massachusetts,City,42.1487,-72.60787,56741,22993,47684,8417.143,91.7
SO - 0003841,2014-08-07,Export,USD,AXW291,5,904.5,4522.5,479.385,ALK-Abello Ltd,Product 15,Providence,Providence County,RI,Rhode Island,City,41.82399,-71.41283,179207,61481,37501,4043.115,89.4
SO - 0004117,2014-08-07,Wholesale,USD,NXH382,8,3932.9,31463.2,2556.385,Aromaticos Company,Product 4,Montgomery,Montgomery County,AL,Alabama,City,32.36681,-86.29997,200602,79866,42927,28906.815,91.88
SO - 0005507,2014-08-07,Export,USD,NXH382,8,1259.6,10076.8,705.376,Rhynoodle Ltd,Product 30,National City,San Diego County,CA,California,City,32.67806,-117.09917,61060,15332,41437,9371.424,93.0
SO - 0009191,2014-08-07,Distributor,USD,GUT930,9,194.3,1748.7,89.378,Fivebridge Ltd,Product 29,West Hartford (CDP),Hartford County,CT,Connecticut,CDP,41.76204,-72.74204,63396,24935,86569,1659.322,94.89
SO - 0009770,2014-08-07,Distributor,USD,AXW291,7,241.2,1688.4,178.488,Skiptube Ltd,Product 3,Bellingham,Whatcom County,WA,Washington,City,48.75955,-122.48822,85146,33764,43536,1509.912,89.43
SO - 0004858,2014-08-07,Distributor,USD,AXW291,10,5996.5,59965.0,4917.13,Browsetype Corp,Product 13,Oceanside,San Diego County,CA,California,City,33.19587,-117.37948,175691,60493,57703,55047.87,91.8
SO - 000819,2014-08-07,Export,USD,NXH382,9,6445.4,58008.6,3544.97,Trunyx Ltd,Product 13,Palmdale,Los Angeles County,CA,California,City,34.57943,-118.11646,158351,42720,52392,54463.63,93.89
SO - 0004549,2014-08-07,Export,USD,FLR025,8,4013.3,32106.4,2046.783,Family Corp,Product 14,Dundee,Kane County,IL,Illinois,Township,42.11043,-88.30135,65946,20816,70658,30059.617,93.62
SO - 0004850,2014-08-07,Wholesale,USD,NXH382,6,3912.8,23476.8,1565.12,Wordtune Company,Product 13,Camden,Camden County,NJ,New Jersey,City,39.92595,-75.11962,76119,24981,25042,21911.68,93.33
SO - 0002526,2014-08-07,Wholesale,USD,AXW291,5,1118.9,5594.5,850.364,Aldi Ltd,Product 27,Elizabeth,Union County,NJ,New Jersey,City,40.66399,-74.2107,129007,39433,43568,4744.136,84.8
SO - 0003502,2014-08-07,Export,USD,AXW291,6,268.0,1608.0,134.0,Mycone Ltd,Product 13,Union City,Hudson County,NJ,New Jersey,City,40.77955,-74.02375,69156,23029,41107,1474.0,91.67
SO - 0005761,2014-08-07,Wholesale,USD,AXW291,7,1078.7,7550.9,862.96,Centizu Company,Product 13,Baton Rouge,East Baton Rouge Parish,LA,Louisiana,City,30.45075,-91.15455,228590,88476,39876,6687.94,88.57
SO - 0007317,2014-08-07,Export,USD,AXW291,7,1118.9,7832.3,525.883,Zoomzone Corp,Product 26,Orlando,Orange County,FL,Florida,City,28.53834,-81.37924,270934,105359,42318,7306.417,93.29
SO - 0009771,2014-08-07,Distributor,USD,AXW291,6,2224.4,13346.4,1401.372,Deseret Group,Product 20,Chicago,Cook County/DuPage County,IL,Illinois,City,41.83755,-87.68184,2720546,1035436,48522,11945.028,89.5
SO - 0001937,2014-08-07,Wholesale,USD,AXW291,7,1031.8,7222.6,773.85,Zoonoodle Ltd,Product 25,Rocklin,Placer County,CA,California,City,38.79073,-121.23578,61213,21208,80177,6448.75,89.29
SO - 0002092,2014-08-07,Distributor,USD,AXW291,10,991.6,9916.0,743.7,Skidoo Company,Product 20,Montgomery,Montgomery County,AL,Alabama,City,32.36681,-86.29997,200602,79866,42927,9172.3,92.5
SO - 0004439,2014-08-07,Wholesale,USD,AXW291,11,2586.2,28448.2,1163.79,Amerisourc Corp,Product 26,Springfield,Lane County,OR,Oregon,City,44.04624,-123.02203,60870,24002,39729,27284.41,95.91
SO - 000430,2014-08-07,Export,USD,AXW291,7,924.6,6472.2,665.712,Gabvine Ltd,Product 13,Thornton,Adams County/Weld County,CO,Colorado,City,39.91942,-104.94281,133451,42679,66948,5806.488,89.71
SO - 000999,2014-08-07,Export,USD,AXW291,9,1876.0,16884.0,900.48,Voolith Ltd,Product 5,Novato,Marin County,CA,California,City,38.10742,-122.5697,55530,21403,78439,15983.52,94.67
SO - 0004822,2014-08-07,Wholesale,USD,NXH382,11,991.6,10907.6,813.112,Omba Group,Product 7,Millcreek,Erie County,PA,Pennsylvania,Township,42.08594,-80.1199,54003,22351,56099,10094.488,92.55
SO - 0010644,2014-08-07,Wholesale,USD,AXW291,9,3035.1,27315.9,1335.444,Rooxo Company,Product 5,Grand Rapids,Kent County,MI,Michigan,City,42.96336,-85.66809,195097,73026,40355,25980.456,95.11
SO - 0006864,2014-08-07,Wholesale,USD,GUT930,6,3999.9,23999.4,2519.937,Unit Ltd,Product 26,Towson,Baltimore County,MD,Maryland,CDP,39.4015,-76.60191,57146,21059,74828,21479.463,89.5
SO - 0003584,2014-08-07,Wholesale,USD,GUT930,12,2385.2,28622.4,1454.972,Z.H.T. Group,Product 25,Gilroy,Santa Clara County,CA,California,City,37.00578,-121.56828,53231,14989,83027,27167.428,94.92
SO - 0005780,2014-08-07,Distributor,USD,AXW291,11,1078.7,11865.7,787.451,Blogspan Ltd,Product 13,Shelby,Macomb County,MI,Michigan,Charter Township,42.6731,-83.03656,77643,29464,65404,11078.249,93.36
SO - 0003067,2014-08-07,Wholesale,USD,AXW291,6,1038.5,6231.0,467.325,Pacific Ltd,Product 1,Mission Viejo,Orange County,CA,California,City,33.60002,-117.672,97156,33483,100366,5763.675,92.5
SO - 0006382,2014-08-07,Wholesale,USD,GUT930,5,2398.6,11993.0,1223.286,US Ltd,Product 1,Davie,Broward County,FL,Florida,Town,26.06287,-80.2331,100882,33707,59680,10769.714,89.8
SO - 0007528,2014-08-08,Wholesale,USD,AXW291,6,2921.2,17527.2,2307.748,MEIJER Corp,Product 15,Detroit,Wayne County,MI,Michigan,City,42.33143,-83.04575,677116,255740,25764,15219.452,86.83
SO - 0010519,2014-08-08,Wholesale,USD,GUT930,10,2271.3,22713.0,1748.901,Bath Group,Product 11,Tyler,Smith County,TX,Texas,City,32.35126,-95.30106,103700,37644,42840,20964.099,92.3
SO - 0009546,2014-08-08,Wholesale,USD,FLR025,7,1058.6,7410.2,868.052,Epic Group,Product 17,Nashua,Hillsborough County,NH,New Hampshire,City,42.76537,-71.46757,87970,34619,67246,6542.148,88.29
SO - 000452,2014-08-08,Distributor,USD,NXH382,6,3906.1,23436.6,3163.941,Chatterbri Ltd,Product 14,Lauderhill,Broward County,FL,Florida,City,26.14036,-80.21338,71579,23770,37429,20272.659,86.5
SO - 0003880,2014-08-08,Distributor,USD,GUT930,9,207.7,1869.3,157.852,Eire Corp,Product 10,Lubbock,Lubbock County,TX,Texas,City,33.57786,-101.85517,249042,90433,44648,1711.448,91.56
SO - 0004020,2014-08-08,Wholesale,USD,GUT930,7,1969.8,13788.6,1654.632,Terumo Corp,Product 25,Napa,Napa County,CA,California,City,38.29714,-122.28553,80434,28356,68038,12133.968,88.0
SO - 0006491,2014-08-08,Wholesale,USD,AXW291,12,897.8,10773.6,574.592,Skajo Ltd,Product 20,Lancaster,Los Angeles County,CA,California,City,34.69804,-118.13674,161103,47427,47225,10199.008,94.67
SO - 0009182,2014-08-08,Distributor,USD,NXH382,12,3825.7,45908.4,3175.331,Twimbo Company,Product 1,Gilbert,Maricopa County,AZ,Arizona,Town,33.35283,-111.78903,247542,73617,82424,42733.069,93.08
SO - 0009751,2014-08-08,Distributor,USD,AXW291,12,4013.3,48159.6,2568.512,Skinder Group,Product 4,Lorain,Lorain County,OH,Ohio,City,41.45282,-82.18237,63647,25218,35042,45591.088,94.67
SO - 0008071,2014-08-08,Distributor,USD,GUT930,8,5427.0,43416.0,2496.42,Arbor Company,Product 6,Harrison,Vigo County,IN,Indiana,Township,39.47555,-87.38835,51268,19760,30400,40919.58,94.25
SO - 0002686,2014-08-08,Distributor,USD,NXH382,11,2251.2,24763.2,1148.112,Realbuzz Ltd,Product 16,Yakima,Yakima County,WA,Washington,City,46.60207,-120.5059,93701,33081,40726,23615.088,95.36
SO - 0004033,2014-08-08,Wholesale,USD,NXH382,9,1105.5,9949.5,652.245,NARS Group,Product 11,Lower Merion,Montgomery County,PA,Pennsylvania,Township,40.02991,-75.27897,58177,22476,118704,9297.255,93.44
SO - 0005361,2014-08-08,Wholesale,USD,AXW291,9,670.0,6030.0,435.5,Colgate-Pa Group,Product 1,Seattle,King County,WA,Washington,City,47.60621,-122.33207,684451,296633,70594,5594.5,92.78
SO - 0006555,2014-08-08,Distributor,USD,GUT930,11,3939.6,43335.6,3269.868,Terumo Corp,Product 15,Salinas,Monterey County,CA,California,City,36.67774,-121.6555,157380,40892,49840,40065.732,92.45
SO - 0010292,2014-08-08,Wholesale,USD,GUT930,8,2479.0,19832.0,1884.04,True Ltd,Product 23,Huntsville,Limestone County/Madison County,AL,Alabama,City,34.69901,-86.67298,190582,78554,48775,17947.96,90.5
SO - 0006786,2014-08-08,Export,USD,AXW291,11,214.4,2358.4,177.952,Army Group,Product 1,Taylor,Wayne County,MI,Michigan,City,42.24087,-83.26965,61568,23742,40545,2180.448,92.45
SO - 0007225,2014-08-08,Distributor,USD,GUT930,8,1695.1,13560.8,830.599,Linkbuzz Ltd,Product 16,Frankfort (Township),Will County,IL,Illinois,Township,41.5136,-87.84645,58934,19051,96853,12730.201,93.88
SO - 0007589,2014-08-08,Export,USD,NXH382,11,234.5,2579.5,157.115,Golden Corp,Product 16,Encinitas,San Diego County,CA,California,City,33.03699,-117.29198,62930,23465,95149,2422.385,93.91
SO - 0003071,2014-08-08,Export,USD,AXW291,7,2271.3,15899.1,1408.206,Holston Company,Product 25,Bonita Springs,Lee County,FL,Florida,City,26.33981,-81.7787,51704,19634,53955,14490.894,91.14
SO - 0008846,2014-08-08,Export,USD,AXW291,11,1058.6,11644.6,825.708,Pixoboo Corp,Product 17,San Mateo,San Mateo County,CA,California,City,37.56299,-122.32553,103536,37861,90208,10818.892,92.91
SO - 0002807,2014-08-08,Wholesale,USD,AXW291,6,1916.2,11497.2,1226.368,State Ltd,Product 24,Sammamish,King County,WA,Washington,City,47.64177,-122.0804,52253,16201,147349,10270.832,89.33
SO - 0005694,2014-08-08,Export,USD,AXW291,9,1695.1,15255.9,678.04,Vitz Company,Product 4,Peabody,Essex County,MA,Massachusetts,City,42.52787,-70.92866,52504,21652,60596,14577.86,95.56
SO - 0009777,2014-08-08,Wholesale,USD,AXW291,8,1065.3,8522.4,681.792,Blogtags Ltd,Product 14,Brick,Ocean County,NJ,New Jersey,Township,40.06177,-74.10956,75012,29942,70647,7840.608,92.0
SO - 000850,2014-08-08,Distributor,USD,AXW291,12,2432.1,29185.2,2018.643,Livepath Corp,Product 12,Rio Rancho,Sandoval County/Bernalillo County,NM,New Mexico,City,35.28507,-106.69887,94171,32511,60893,27166.557,93.08
SO - 0004016,2014-08-08,Distributor,USD,AXW291,9,3899.4,35094.6,3080.526,Buzzshare Company,Product 4,Union,Broome County,NY,New York,Town,42.12662,-76.03324,54995,23992,45958,32014.074,91.22
SO - 0008895,2014-08-08,Wholesale,USD,AXW291,7,1078.7,7550.9,862.96,Centizu Company,Product 13,Eastvale,Riverside County,CA,California,City,33.96358,-117.56418,59039,13189,110927,6687.94,88.57
SO - 0010710,2014-08-08,Distributor,USD,NXH382,11,891.1,9802.1,356.44,NARS Group,Product 27,Norfolk,Norfolk city,VA,Virginia,City,36.84681,-76.28522,246393,87045,44480,9445.66,96.36
SO - 0008620,2014-08-08,Wholesale,USD,AXW291,6,2606.3,15637.8,1485.591,SEINDNI Corp,Product 6,Bloom,Cook County,IL,Illinois,Township,41.51591,-87.60098,91132,31948,48088,14152.209,90.5
SO - 0005974,2014-08-08,Wholesale,USD,GUT930,8,3865.9,30927.2,3092.72,Muxo Group,Product 26,Brookline,Norfolk County,MA,Massachusetts,Town,42.32385,-71.142,59195,25324,95518,27834.48,90.0
SO - 0007058,2014-08-08,Wholesale,USD,AXW291,11,1031.8,11349.8,567.49,Voolia Ltd,Product 29,Dothan,Dale County/Houston County/Henry County,AL,Alabama,City,31.2337,-85.40682,68567,25913,42426,10782.31,95.0
SO - 0009317,2014-08-08,Export,USD,AXW291,11,5983.1,65814.1,2871.888,Skyble Corp,Product 1,Skokie,Cook County,IL,Illinois,Village,42.03336,-87.73339,64821,22787,66999,62942.212,95.64
SO - 0009542,2014-08-08,Export,USD,AXW291,12,2532.6,30391.2,2000.754,Omba Group,Product 27,Pasadena,Harris County,TX,Texas,City,29.69106,-95.2091,153784,49256,48004,28390.446,93.42
SO - 0006861,2014-08-08,Wholesale,USD,AXW291,5,3678.3,18391.5,2427.678,BB17 Company,Product 7,Roswell,Fulton County/Cobb County,GA,Georgia,City,34.03945,-84.35095,94501,34697,82150,15963.822,86.8
SO - 0001597,2014-08-08,Distributor,USD,AXW291,10,3611.3,36113.0,2672.362,Skippad Ltd,Product 26,Kendale Lakes,Miami-Dade County,FL,Florida,CDP,25.70816,-80.407,58767,17936,48818,33440.638,92.6
SO - 0001172,2014-08-08,Wholesale,USD,AXW291,9,1326.6,11939.4,809.226,Lazzy Group,Product 18,Jupiter,Palm Beach County,FL,Florida,Town,26.93422,-80.09421,62707,24536,71233,11130.174,93.22
SO - 0010068,2014-08-08,Distributor,USD,AXW291,9,3839.1,34551.9,2418.633,Johnson Ltd,Product 17,Hillsboro,Washington County,OR,Oregon,City,45.52289,-122.98983,102347,35284,67757,32133.267,93.0
SO - 0009765,2014-08-08,Distributor,USD,NXH382,12,2666.6,31999.2,1466.63,Flipstorm Group,Product 17,Shreveport,Caddo Parish/Bossier Parish,LA,Louisiana,City,32.46688,-93.79219,197204,77500,38583,30532.57,95.42
SO - 0009774,2014-08-08,Wholesale,USD,AXW291,11,3953.0,43483.0,2134.62,Holston Company,Product 21,Milpitas,Santa Clara County,CA,California,City,37.42827,-121.90662,77604,20792,100242,41348.38,95.09
SO - 0010583,2014-08-08,Distributor,USD,GUT930,7,1909.5,13366.5,801.99,Kare Corp,Product 30,St. Paul,Ramsey County,MN,Minnesota,City,44.94441,-93.09327,300851,112988,48757,12564.51,94.0
SO - 0005266,2014-08-08,Wholesale,USD,AXW291,6,2539.3,15235.8,1904.475,SAFEWAY Ltd,Product 9,St. Joseph,Buchanan County,MO,Missouri,City,39.76861,-94.84663,76596,28557,43298,13331.325,87.5
SO - 0002285,2014-08-08,Distributor,USD,NXH382,6,3932.9,23597.4,1573.16,Skippad Ltd,Product 19,Leyden,Cook County,IL,Illinois,Township,41.93807,-87.8685,92862,32687,53593,22024.24,93.33
SO - 0005632,2014-08-08,Wholesale,USD,AXW291,7,3705.1,25935.7,2778.825,Zoonder Group,Product 27,Oak Lawn,Cook County,IL,Illinois,Village,41.71087,-87.75811,56781,21527,56185,23156.875,89.29
SO - 0009334,2014-08-09,Distributor,USD,NXH382,6,5453.8,32722.8,2890.514,Topco Company,Product 16,Libertyville (Township),Lake County,IL,Illinois,Township,42.28417,-87.94521,53919,19317,94258,29832.286,91.17
SO - 0010168,2014-08-09,Wholesale,USD,NXH382,8,2646.5,21172.0,1931.945,Vinte Group,Product 15,Homestead,Miami-Dade County,FL,Florida,City,25.46872,-80.47756,66498,19154,40959,19240.055,90.88
SO - 0002389,2014-08-09,Distributor,USD,AXW291,5,6277.9,31389.5,3201.729,Meejo Corp,Product 13,Montgomery,Montgomery County,AL,Alabama,City,32.36681,-86.29997,200602,79866,42927,28187.771,89.8
SO - 0003554,2014-08-09,Export,USD,NXH382,10,3986.5,39865.0,2232.44,Unit Ltd,Product 30,Taylor,Wayne County,MI,Michigan,City,42.24087,-83.26965,61568,23742,40545,37632.56,94.4
SO - 0004817,2014-08-09,Export,USD,AXW291,10,944.7,9447.0,736.866,CLINIQUE Ltd,Product 5,Huntington Park,Los Angeles County,CA,California,City,33.98168,-118.22507,59430,14559,34887,8710.134,92.2
SO - 0005656,2014-08-09,Export,USD,AXW291,12,2385.2,28622.4,1025.636,Roberts Company,Product 7,Bloomingdale (Township),DuPage County,IL,Illinois,Township,41.94563,-88.08462,113024,40097,68474,27596.764,96.42
SO - 0006432,2014-08-09,Distributor,USD,NXH382,11,1896.1,20857.1,1573.763,Terumo Corp,Product 13,Huntington Park,Los Angeles County,CA,California,City,33.98168,-118.22507,59430,14559,34887,19283.337,92.45
SO - 0009132,2014-08-09,Wholesale,USD,GUT930,10,3845.8,38458.0,1884.442,Nexus Group,Product 13,New Bedford,Bristol County,MA,Massachusetts,City,41.63622,-70.93421,94958,39141,37574,36573.558,95.1
SO - 0006841,2014-08-09,Export,USD,AXW291,5,3819.0,19095.0,2864.25,Flipstorm Group,Product 1,Salem,Marion County/Polk County,OR,Oregon,City,44.92371,-123.02319,164549,57729,47191,16230.75,85.0
SO - 0001464,2014-08-09,Wholesale,USD,AXW291,5,1681.7,8408.5,1194.007,Kare Corp,Product 6,Redondo Beach,Los Angeles County,CA,California,City,33.84918,-118.38841,68166,27733,105145,7214.493,85.8
SO - 0008802,2014-08-09,Export,USD,FLR025,6,1031.8,6190.8,577.808,WOCKHARDT Group,Product 26,Stockton,San Joaquin County,CA,California,City,37.9577,-121.29078,305658,92440,44797,5612.992,90.67
SO - 0010458,2014-08-09,Distributor,USD,AXW291,9,1989.9,17909.1,1691.415,Blogtags Ltd,Product 21,Sunrise,Broward County,FL,Florida,City,26.1716,-80.26163,92700,31354,49806,16217.685,90.56
SO - 0008929,2014-08-09,Wholesale,USD,AXW291,7,750.4,5252.8,547.792,Valeant Corp,Product 25,Hanford,Kings County,CA,California,City,36.32745,-119.64568,55659,17414,53986,4705.008,89.57
SO - 000828,2014-08-09,Wholesale,USD,AXW291,5,1916.2,9581.0,1015.586,Geiss Company,Product 1,Schaumburg,Cook County/DuPage County,IL,Illinois,Village,42.02901,-88.08366,74693,30011,74086,8565.414,89.4
SO - 0001159,2014-08-09,Wholesale,USD,AXW291,5,891.1,4455.5,552.482,Cogilith Group,Product 19,West Jordan,Salt Lake County,UT,Utah,City,40.60967,-111.9391,111946,31742,68442,3903.018,87.6
SO - 0003860,2014-08-09,Wholesale,USD,AXW291,11,3370.1,37071.1,2055.761,Realbridge Corp,Product 26,Pike,Marion County,IN,Indiana,Township,39.87571,-86.26625,81408,31112,47149,35015.339,94.45
SO - 0008574,2014-08-09,Distributor,USD,GUT930,11,917.9,10096.9,706.783,ALK-Abello Ltd,Product 5,Bayonne,Hudson County,NJ,New Jersey,City,40.66871,-74.11431,66311,25474,54413,9390.117,93.0
SO - 0009535,2014-08-09,Export,USD,GUT930,12,1078.7,12944.4,776.664,Aldi Ltd,Product 27,Dearborn,Wayne County,MI,Michigan,City,42.32226,-83.17631,95171,31502,47375,12167.736,94.0
SO - 0002676,2014-08-09,Distributor,USD,NXH382,12,1922.9,23074.8,1134.511,Oba Company,Product 22,Boulder,Boulder County,CO,Colorado,City,40.01499,-105.27055,107349,42165,58484,21940.289,95.08
SO - 0001673,2014-08-09,Wholesale,USD,AXW291,7,1092.1,7644.7,786.312,Nlounge Ltd,Product 22,Taylor,Wayne County,MI,Michigan,City,42.24087,-83.26965,61568,23742,40545,6858.388,89.71
SO - 0010687,2014-08-09,Export,USD,GUT930,9,1038.5,9346.5,695.795,Talane Group,Product 15,White Plains,Westchester County,NY,New York,City,41.03399,-73.76291,58459,21877,80442,8650.705,92.56
SO - 000529,2014-08-09,Export,USD,AXW291,10,3966.4,39664.0,2776.48,Fivebridge Ltd,Product 26,Joliet (Township),Will County,IL,Illinois,Township,41.50829,-88.08257,87325,29476,43788,36887.52,93.0
SO - 0003381,2014-08-09,Wholesale,USD,AXW291,11,1025.1,11276.1,727.821,Voolia Ltd,Product 19,Greenville,Greenville County,SC,South Carolina,City,34.85262,-82.39401,64579,26636,41924,10548.279,93.55
SO - 0003577,2014-08-09,Distributor,USD,AXW291,7,817.4,5721.8,498.614,Fivebridge Ltd,Product 18,Ames,Story County,IA,Iowa,City,42.03471,-93.61994,65060,24004,41616,5223.186,91.29
SO - 0004383,2014-08-09,Wholesale,USD,AXW291,9,3577.8,32200.2,2003.568,Aibox Company,Product 17,Pembroke Pines,Broward County,FL,Florida,City,26.00315,-80.22394,166611,56171,61279,30196.632,93.78
SO - 0005389,2014-08-09,Distributor,USD,AXW291,7,5065.2,35456.4,2785.86,Trunyx Ltd,Product 19,Stratford,Fairfield County,CT,Connecticut,Town,41.20569,-73.12799,52609,20714,66886,32670.54,92.14
SO - 0006228,2014-08-09,Wholesale,USD,AXW291,8,5406.9,43255.2,4217.382,Gigabox Group,Product 30,Hamilton,Mercer County,NJ,New Jersey,Township,40.20627,-74.67527,89030,33496,70996,39037.818,90.25
SO - 0008918,2014-08-09,Distributor,USD,FLR025,8,1025.1,8200.8,563.805,Bluezoom Group,Product 1,Placentia,Orange County,CA,California,City,33.87224,-117.87034,52495,16050,79598,7636.995,93.12
SO - 0006327,2014-08-09,Wholesale,USD,AXW291,6,4013.3,24079.8,2929.709,Accord Group,Product 3,Burnsville,Dakota County,MN,Minnesota,City,44.76774,-93.27772,61481,24856,63649,21150.091,87.83
SO - 0006612,2014-08-09,Wholesale,USD,AXW291,5,3946.3,19731.5,1933.687,Centizu Company,Product 18,Oak Park,Cook County,IL,Illinois,Village,41.88503,-87.7845,52287,21612,80196,17797.813,90.2
SO - 000965,2014-08-09,Distributor,USD,AXW291,5,1085.4,5427.0,640.386,Johnson Ltd,Product 5,Enterprise,Clark County,NV,Nevada,CDP,36.02525,-115.24194,124564,43699,68137,4786.614,88.2
SO - 0008243,2014-08-09,Distributor,USD,AXW291,7,3946.3,27624.1,1578.52,NARS Group,Product 26,Federal Way,King County,WA,Washington,City,47.32232,-122.31262,95171,34117,55673,26045.58,94.29
SO - 0009533,2014-08-09,Wholesale,USD,AXW291,6,1333.3,7999.8,1026.641,Geiss Company,Product 30,Brandon,Hillsborough County,FL,Florida,CDP,27.9378,-82.28592,106604,40453,56464,6973.159,87.17
SO - 0002150,2014-08-09,Wholesale,USD,AXW291,10,2217.7,22177.0,1552.39,MEIJER Corp,Product 10,Commerce City,Adams County,CO,Colorado,City,39.80832,-104.93387,53696,14704,66053,20624.61,93.0
SO - 0003095,2014-08-09,Wholesale,USD,GUT930,7,850.9,5956.3,655.193,Wordtune Company,Product 5,Laguna Niguel,Orange County,CA,California,City,33.52253,-117.70755,65806,24877,95536,5301.107,89.0
SO - 0003840,2014-08-09,Distributor,USD,NXH382,12,5929.5,71154.0,3557.7,Viva Ltd,Product 2,Mobile,Mobile County,AL,Alabama,City,30.69436,-88.04305,194288,76170,38776,67596.3,95.0
SO - 0005393,2014-08-09,Distributor,USD,AXW291,8,951.4,7611.2,732.578,Viva Ltd,Product 30,Missoula,Missoula County,MT,Montana,City,46.87215,-113.994,71022,29860,41421,6878.622,90.38
SO - 0007352,2014-08-09,Wholesale,USD,GUT930,7,2284.7,15992.9,1347.973,Roomm Company,Product 22,Mission,Hidalgo County,TX,Texas,City,26.21591,-98.32529,83298,24070,41818,14644.927,91.57
SO - 0008304,2014-08-09,Export,USD,GUT930,7,2552.7,17868.9,1480.566,WOCKHARDT Group,Product 26,Rogers,Benton County,AR,Arkansas,City,36.33202,-94.11854,63159,21295,52943,16388.334,91.71
SO - 0007144,2014-08-09,Wholesale,USD,AXW291,12,174.2,2090.4,73.164,GOOD Ltd,Product 3,Lansing,Clinton County/Ingham County/Eaton County,MI,Michigan,City,42.71434,-84.55928,115056,48414,35563,2017.236,96.5
SO - 0008076,2014-08-10,Wholesale,USD,AXW291,5,1038.5,5192.5,664.64,Skyvu Group,Product 2,Anaheim,Orange County,CA,California,City,33.83529,-117.9145,350742,99670,60752,4527.86,87.2
SO - 0009204,2014-08-10,Distributor,USD,NXH382,9,3852.5,34672.5,1541.0,Aibox Company,Product 13,Schaumburg (Township),Cook County,IL,Illinois,Township,42.02911,-88.08951,132162,49006,74034,33131.5,95.56
SO - 0009625,2014-08-10,Wholesale,USD,AXW291,12,897.8,10773.6,574.592,Skajo Ltd,Product 20,Missoula,Missoula County,MT,Montana,City,46.87215,-113.994,71022,29860,41421,10199.008,94.67
SO - 0009653,2014-08-10,Wholesale,USD,AXW291,8,1031.8,8254.4,546.854,Pacific Ltd,Product 26,High Point,Davidson County/Randolph County/Forsyth County/Guilford County,NC,North Carolina,City,35.98998,-79.99047,110268,40973,42299,7707.546,93.38
SO - 0008292,2014-08-10,Wholesale,USD,AXW291,5,1058.6,5293.0,571.644,Livepath Corp,Product 26,Jonesboro,Craighead County,AR,Arkansas,City,35.8423,-90.70428,73907,27335,41688,4721.356,89.2
